day,language,part,time_seconds,timestamp
05,python,2,0.000597,2026-01-06T09:15:52.770740
06,python,1,0.000972,2026-01-06T09:15:52.858424
06,python,2,0.005356,2026-01-06T09:15:52.864381
07,python,1,0.001248,2026-01-06T09:15:52.956905
07,python,2,0.001614,2026-01-06T09:15:52.958957
08,python,1,0.084444,2026-01-06T09:15:53.212592
08,python,2,0.247489,2026-01-06T09:15:53.460745
09,python,1,0.070575,2026-01-06T09:15:53.630094
09,python,2,0.373085,2026-01-06T09:15:54.003701
10,python,1,0.018480,2026-01-06T09:15:54.141394
10,python,2,0.844903,2026-01-06T09:15:54.986900
11,python,1,0.000536,2026-01-06T09:15:55.086521
11,python,2,0.002017,2026-01-06T09:15:55.088980
12,python,1,0.003274,2026-01-06T09:15:55.181545
12,python,2,0.000001,2026-01-06T09:15:55.182020
01,rust,1,0.000049,2026-01-06T09:15:55.377563219+00:00
01,rust,2,0.000059,2026-01-06T09:15:55.377803703+00:00
02,rust,1,0.003990,2026-01-06T09:15:55.560852696+00:00
02,rust,2,0.022381,2026-01-06T09:15:55.583472951+00:00
03,rust,1,0.000098,2026-01-06T09:15:55.768708395+00:00
03,rust,2,0.000317,2026-01-06T09:15:55.769201631+00:00
04,rust,1,0.004065,2026-01-06T09:15:55.951751346+00:00
04,rust,2,0.008139,2026-01-06T09:15:55.960204169+00:00
01,python,1,0.001710,2026-01-06T09:16:03.912588
01,python,2,0.002486,2026-01-06T09:16:03.915587
02,python,1,0.615225,2026-01-06T09:16:04.619679
02,python,2,1.350804,2026-01-06T09:16:05.971038
03,python,1,0.004604,2026-01-06T09:16:06.070020
03,python,2,0.010583,2026-01-06T09:16:06.081206
04,python,1,0.062882,2026-01-06T09:16:06.239587
04,python,2,0.406272,2026-01-06T09:16:06.646515
05,python,1,0.005270,2026-01-06T09:16:06.737099
05,python,2,0.000455,2026-01-06T09:16:06.737970
06,python,1,0.001211,2026-01-06T09:16:06.829117
06,python,2,0.007456,2026-01-06T09:16:06.837372
07,python,1,0.001432,2026-01-06T09:16:06.929384
07,python,2,0.001548,2026-01-06T09:16:06.931377
08,python,1,0.078544,2026-01-06T09:16:07.166226
08,python,2,0.242666,2026-01-06T09:16:07.409423
09,python,1,0.073844,2026-01-06T09:16:07.577879
09,python,2,0.319377,2026-01-06T09:16:07.897791
10,python,1,0.018452,2026-01-06T09:16:08.037236
10,python,2,0.821638,2026-01-06T09:16:08.859404
11,python,1,0.000534,2026-01-06T09:16:08.958301
11,python,2,0.002044,2026-01-06T09:16:08.960906
12,python,1,0.003428,2026-01-06T09:16:09.049887
12,python,2,0.000001,2026-01-06T09:16:09.050378
01,rust,1,0.000049,2026-01-06T09:16:09.245965417+00:00
01,rust,2,0.000068,2026-01-06T09:16:09.246212087+00:00
02,rust,1,0.005282,2026-01-06T09:16:09.438290816+00:00
02,rust,2,0.025403,2026-01-06T09:16:09.463997974+00:00
03,rust,1,0.000173,2026-01-06T09:16:09.644471682+00:00
03,rust,2,0.000186,2026-01-06T09:16:09.644805529+00:00
04,rust,1,0.003913,2026-01-06T09:16:09.828963335+00:00
04,rust,2,0.008373,2026-01-06T09:16:09.837648806+00:00
01,python,1,0.001756,2026-01-06T09:16:20.035164
01,python,2,0.002844,2026-01-06T09:16:20.038441
02,python,1,0.596748,2026-01-06T09:16:20.728930
02,python,2,1.235633,2026-01-06T09:16:21.965204
03,python,1,0.004655,2026-01-06T09:16:22.056011
03,python,2,0.008042,2026-01-06T09:16:22.064647
04,python,1,0.057764,2026-01-06T09:16:22.210392
04,python,2,0.383178,2026-01-06T09:16:22.594182
05,python,1,0.005086,2026-01-06T09:16:22.689287
05,python,2,0.000503,2026-01-06T09:16:22.690154
06,python,1,0.001037,2026-01-06T09:16:22.780499
06,python,2,0.004392,2026-01-06T09:16:22.785299
07,python,1,0.001262,2026-01-06T09:16:22.874636
07,python,2,0.001635,2026-01-06T09:16:22.876796
08,python,1,0.076601,2026-01-06T09:16:23.113021
08,python,2,0.254035,2026-01-06T09:16:23.367707
09,python,1,0.074479,2026-01-06T09:16:23.537934
09,python,2,0.310135,2026-01-06T09:16:23.848656
10,python,1,0.018106,2026-01-06T09:16:23.990036
10,python,2,0.814009,2026-01-06T09:16:24.804901
11,python,1,0.000541,2026-01-06T09:16:24.914663
11,python,2,0.002307,2026-01-06T09:16:24.917547
12,python,1,0.007397,2026-01-06T09:16:25.020051
12,python,2,0.000001,2026-01-06T09:16:25.020452
01,rust,1,0.000049,2026-01-06T09:16:36.392607890+00:00
01,rust,2,0.000144,2026-01-06T09:16:36.392994167+00:00
02,rust,1,0.005948,2026-01-06T09:16:36.609389245+00:00
02,rust,2,0.021153,2026-01-06T09:16:36.630956600+00:00
03,rust,1,0.000102,2026-01-06T09:16:36.811170770+00:00
03,rust,2,0.000290,2026-01-06T09:16:36.811666057+00:00
04,rust,1,0.004173,2026-01-06T09:16:36.999563110+00:00
04,rust,2,0.008105,2026-01-06T09:16:37.007942485+00:00
01,python,1,0.001752,2026-01-06T09:16:38.997831
01,python,2,0.003862,2026-01-06T09:16:39.002148
02,python,1,0.596250,2026-01-06T09:16:39.689822
02,python,2,1.356349,2026-01-06T09:16:41.046737
03,python,1,0.004351,2026-01-06T09:16:41.142268
03,python,2,0.010372,2026-01-06T09:16:41.153279
04,python,1,0.068653,2026-01-06T09:16:41.318659
04,python,2,0.480965,2026-01-06T09:16:41.800368
05,python,1,0.014411,2026-01-06T09:16:41.909097
05,python,2,0.000516,2026-01-06T09:16:41.910167
06,python,1,0.001122,2026-01-06T09:16:42.031445
06,python,2,0.006270,2026-01-06T09:16:42.038232
07,python,1,0.001283,2026-01-06T09:16:42.139591
07,python,2,0.002307,2026-01-06T09:16:42.142626
08,python,1,0.082627,2026-01-06T09:16:42.420594
08,python,2,0.285797,2026-01-06T09:16:42.706931
09,python,1,0.073413,2026-01-06T09:16:42.886101
09,python,2,0.411343,2026-01-06T09:16:43.298128
10,python,1,0.019967,2026-01-06T09:16:43.442343
10,python,2,0.848983,2026-01-06T09:16:44.291990
11,python,1,0.000562,2026-01-06T09:16:44.392425
11,python,2,0.003207,2026-01-06T09:16:44.396343
12,python,1,0.003275,2026-01-06T09:16:44.489705
12,python,2,0.000000,2026-01-06T09:16:44.490109
